TRAVELER_ID,VISIT_AREA_ID,ACTIVITY_TYPE_CD,ACTIVITY_TYPE_SEQ,CONSUME_HIS_SEQ,CONSUME_HIS_SNO,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD,PAYMENT_DT_HOUR,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION
h000267,2305310013,1,1,1,1,3,,꾸브라꼬치킨_제주외도점,제주특별자치도 제주시 우령6길 55,제주특별자치도 제주시 외도일동 542-6,4848463.0,5011012300.0,2023-05,1,18000.0,숯불데리야끼 반마리,,23,대구광역시,제주
h000294,2306030004,1,0,0,1,2,6482401506.0,아왜낭목제빵소,제주특별자치도 서귀포시 월평하원로 11,제주특별자치도 서귀포시 월평동 511,3350228.0,5013011500.0,2023-06,1,8000.0,,,16,대구광역시,제주
h000346,2306030003,1,2,2,2,4,6169922837.0,정방농산물,제주특별자치도 서귀포시 칠십리로214번길 33,제주특별자치도 서귀포시 동홍동 279-3,4850878.0,5013010500.0,2023-06,1,6000.0,,,14,서울특별시,제주
h000346,2306030003,3,4,4,2,4,6168300017.0,정방폭포,제주특별자치도 서귀포시 칠십리로214번길 37,제주특별자치도 서귀포시 동홍동 278,4850878.0,5013010500.0,2023-06,1,6000.0,입장권,,14,서울특별시,제주
h000353,2306090002,2,0,0,1,1,4861000407.0,밤수지맨드라미,제주특별자치도 제주시 우도면 우도해안길 530,제주특별자치도 제주시 우도면 연평리 860,4848460.0,5011033021.0,2023-06,1,30000.0,,,10,울산광역시,제주
h000496,2306010001,2,0,0,1,3,1789701369.0,이후북스 제주,제주특별자치도 제주시 관덕로4길 3,제주특별자치도 제주시 삼도이동 964-2,4847165.0,5011010600.0,2023-06,1,20000.0,,,13,서울특별시,제주
h000496,2306030006,2,0,0,5,3,5399000663.0,달인해산물,제주특별자치도 서귀포시 중앙로62번길 18,제주특별자치도 서귀포시 서귀동 277-1,4850829.0,5013010100.0,2023-06,1,20000.0,,,18,서울특별시,제주
h000534,2306090007,1,0,0,1,2,2018121515.0,스타벅스,제주특별자치도 서귀포시 성산읍 일출로 80,제주특별자치도 서귀포시 성산읍 고성리 238,3350244.0,5013025924.0,2023-06,3,15000.0,G)제주말차애플망고;G)제주금귤듬뿍B,,19,경기도,제주
h000592,2306290003,1,0,0,1,2,6163091623.0,고깃집,제주특별자치도 서귀포시 일주동로 8648,제주특별자치도 서귀포시 동홍동 1507-10,3349235.0,5013010500.0,2023-06,1,10000.0,한우육회비빔밥,,13,인천광역시,제주
h000628,2306190005,2,0,0,1,1,3705900324.0,세화소품관,제주특별자치도 제주시 구좌읍 해맞이해안로 1422-3,제주특별자치도 제주시 구좌읍 세화리 1500-6,3349242.0,5011025628.0,2023-06,1,20000.0,,,17,인천광역시,제주
h000648,2307060004,2,0,0,1,2,1880600490.0,신촌흑돼지강점,제주특별자치도 서귀포시 중앙로42번길 16,제주특별자치도 서귀포시 서귀동 274-2,4850823.0,5013010100.0,2023-07,1,10000.0,,,20,경기도,제주
h000674,2306140005,2,0,0,3,2,3590900259.0,제주선물 블루베이,제주특별자치도 제주시 동문로4길 14,제주특별자치도 제주시 일도일동 1144-1,4847601.0,5011010100.0,2023-06,1,20000.0,,,19,충청북도,제주
h000703,2306210006,1,0,0,1,2,8278100461.0,주식회사우진해장국,제주특별자치도 제주시 서사로 11,제주특별자치도 제주시 삼도이동 831,3349092.0,5011010600.0,2023-06,1,20000.0,육개장;몸국,,17,인천광역시,제주
h000703,2306190012,2,2,2,1,2,7578701974.0,(주)동문올레수산,제주특별자치도 제주시 관덕로14길 10,제주특별자치도 제주시 이도일동 1349-5,4847160.0,5011010300.0,2023-06,1,20000.0,,,19,인천광역시,제주
h000759,2306130003,1,0,0,1,2,5320702353.0,휴즐리,제주특별자치도 제주시 흥운길 83,제주특별자치도 제주시 용담이동 434,4849131.0,5011010900.0,2023-06,1,20000.0,젤라봉;IM 현무,,11,부산광역시,제주
h000759,2306120004,3,2,2,1,2,6168180282.0,제주한울영농조합법인,제주특별자치도 제주시 동샘길 21-1,제주특별자치도 제주시 영평동 2012-28,4847611.0,5011013600.0,2023-06,1,12000.0,입장권,,12,부산광역시,제주
h000768,2306220007,2,1,1,2,3,2478200416.0,한림수협 수산물유통지원,제주특별자치도 제주시 한림읍 한림해안로 127,제주특별자치도 제주시 한림읍 한림리 1328-53,3349211.0,5011025024.0,2023-06,1,11800.0,(대찬)한치회,,20,대전광역시,제주
h000797,2306180008,3,1,1,1,2,6168157909.0,(주)아일랜드조이(그림의 숲),제주특별자치도 서귀포시 중문관광로110번길 32,제주특별자치도 서귀포시 색달동 2864-2,4850761.0,5013011900.0,2023-06,3,24000.0,입장권,,17,경기도,제주
h000810,2306220005,1,0,0,1,2,2070897096.0,그린푸트,제주특별자치도 서귀포시 표선면 남조로 1487-73,제주특별자치도 서귀포시 표선면 가시리 산 158,3349229.0,5013032024.0,2023-06,1,12000.0,,,17,대구광역시,제주
h000821,2307080006,1,0,0,1,5,8044200815.0,네꼬야밀크티샵,제주특별자치도 제주시 애월읍 하가로 167-1,제주특별자치도 제주시 애월읍 하가리 1371,3349201.0,5011025330.0,2023-07,1,16000.0,스무스피치;유러피언 ,,18,경기도,제주
h000852,2306130004,1,0,0,1,2,6162510586.0,쪼끌락,제주특별자치도 제주시 구좌읍 김녕로21길 21,제주특별자치도 제주시 구좌읍 김녕리 1223-20,4847347.0,5011025634.0,2023-06,1,13000.0,김녕 라떼;돌하르방 초코라떼,,14,부산광역시,제주
h000869,2306240003,3,1,1,1,4,6168300017.0,천지연폭포,제주특별자치도 서귀포시 남성중로 2-15,제주특별자치도 서귀포시 서홍동 666-1,3350030.0,5013010600.0,2023-06,1,5000.0,입장권,,17,대구광역시,제주
h000886,2307040002,1,0,0,1,2,2018121515.0,스타벅스,제주특별자치도 서귀포시 중문관광로110번길 32,제주특별자치도 서귀포시 색달동 2864-2,4850761.0,5013011900.0,2023-07,1,29000.0,G)제주쑥떡F;G)제주F.콜드브루;백년 초콜릿 케이크;제주땅콩크림롤,,10,경기도,제주
h001026,2306250006,1,0,0,1,3,8278100461.0,주식회사우진해장국,제주특별자치도 제주시 서사로 11,제주특별자치도 제주시 삼도이동 831,3349092.0,5011010600.0,2023-06,1,30000.0,육개장,,16,서울특별시,제주
h001057,2307060005,1,0,0,1,2,7850501177.0,카페살레,제주특별자치도 제주시 우도면 우도해안길 816,제주특별자치도 제주시 우도면 연평리 1290-2,4848460.0,5011033021.0,2023-07,1,20000.0,한라봉슬러쉬;아메리카노ICE;땅콩 아이스크림,,14,서울특별시,제주
h001063,2306140002,1,0,0,1,4,7778701357.0,엉또정,제주특별자치도 서귀포시 중산간서로157번길 28-6,제주특별자치도 서귀포시 강정동 1938,4850795.0,5013011600.0,2023-06,1,40000.0,두루치기+솥밥;김치전골+솥밥,,12,서울특별시,제주
h001075,2306230006,2,0,0,1,2,2031098397.0,샌드베베,제주특별자치도 서귀포시 중정로61번길 11,제주특별자치도 서귀포시 서귀동 292-21,4850836.0,5013010100.0,2023-06,1,18000.0,우도땅콩 바다샌드,,19,서울특별시,제주
h001082,2306170013,1,0,0,1,1,2858601040.0,코코테로 1996,제주특별자치도 제주시 조천읍 조함해안로 528,제주특별자치도 제주시 조천읍 함덕리 1004-29,3349182.0,5011025924.0,2023-06,1,35000.0,양념먹태;제주 라거;기네스,,23,경기도,제주
h001184,2306260003,3,0,0,1,4,1381701582.0,픽스볼더,제주특별자치도 제주시 삼무로 41,제주특별자치도 제주시 연동 271-36,3349083.0,5011013700.0,2023-06,1,20000.0,,,14,서울특별시,제주
h001198,2306280004,2,0,0,1,3,2148639904.0,바이제주(아이컨텐츠),제주특별자치도 제주시 서해안로 626,제주특별자치도 제주시 용담삼동 1023-2,3349093.0,5011011000.0,2023-06,1,30000.0,감귤천혜향주스;우도땅콩;우도땅콩초코웨하스;낱개돌코롬샌드(땅콩);우도땅콩찰떡파이단품,,12,광주광역시,제주
h001247,2307050002,2,2,2,1,2,6169322908.0,인태농산물,제주특별자치도 서귀포시 중앙로48번길 23,제주특별자치도 서귀포시 서귀동 271-30,4850825.0,5013010100.0,2023-07,1,10000.0,,,11,경상북도,제주
h001261,2306280003,3,0,0,1,2,1128142049.0,포도뮤지엄,제주특별자치도 서귀포시 안덕면 산록남로 786,제주특별자치도 서귀포시 안덕면 상천리 산 78-1,3020010.0,5013031030.0,2023-06,1,17000.0,입장권,,10,부산광역시,제주
h001298,2306190001,1,0,0,1,1,1908801881.0,인스밀,제주특별자치도 서귀포시 대정읍 일과대수로27번길 22,제주특별자치도 서귀포시 대정읍 일과리 1291,4850708.0,5013025025.0,2023-06,1,14000.0,(ICE)아메리카노;그릭요거트,,11,충청북도,제주
h001309,2306220009,1,0,0,1,2,8278100461.0,주식회사우진해장국,제주특별자치도 제주시 서사로 11,제주특별자치도 제주시 삼도이동 831,3349092.0,5011010600.0,2023-06,1,21000.0,육개장;몸국;공기밥 ,,17,서울특별시,제주
h001314,2306220007,3,0,0,1,2,8921701202.0,비밀의숲,제주특별자치도 제주시 구좌읍 송당1길 26,제주특별자치도 제주시 구좌읍 송당리 1352-5,4848028.0,5011025625.0,2023-06,1,6000.0,입장권,,14,대전광역시,제주
h001397,2306260003,2,2,2,1,2,2828101838.0,임박사영농조합법인,제주특별자치도 서귀포시 염돈로 20-12,제주특별자치도 서귀포시 강정동 2088-9,3350205.0,5013011600.0,2023-06,1,5000.0,,,19,경기도,제주
h001434,2306300001,1,0,0,1,2,8278100461.0,주식회사우진해장국,제주특별자치도 제주시 서사로 11,제주특별자치도 제주시 삼도이동 831,3349092.0,5011010600.0,2023-06,1,20000.0,육개장 ,,11,충청북도,제주
h001438,2307060001,2,0,0,1,2,6168100667.0,(주)덕산,제주특별자치도 제주시 공항로 2,제주특별자치도 제주시 용담이동 2002,3349012.0,5011010900.0,2023-07,1,10000.0,3종초콜릿(탐라),,07,대구광역시,제주
h001461,2306290001,2,0,0,1,1,3101803665.0,재정온누리약국,제주특별자치도 서귀포시 대정읍 하모중앙로 76,제주특별자치도 서귀포시 대정읍 하모리 943-2,3350298.0,5013025022.0,2023-06,1,5000.0,,,10,경기도,제주
h001461,2306300002,2,1,1,1,1,,모노맨션 ,제주특별자치도 제주시 광양14길 4,제주특별자치도 제주시 이도이동 1768-21,4847206.0,5011010400.0,2023-06,1,5000.0,,,14,경기도,제주
h001520,2307080001,1,0,0,1,2,2018121515.0,스타벅스,제주특별자치도 서귀포시 남원읍 일주동로 7129,제주특별자치도 서귀포시 남원읍 남원리 164,3349235.0,5013025321.0,2023-07,3,12000.0,G)제주금귤듬뿍B;I-T)아메리카노,,11,대구광역시,제주
h001551,2306300004,1,2,2,1,1,,북카페가까이,제주특별자치도 서귀포시 보목포로 161,제주특별자치도 서귀포시 하효동 1374-2,3350099.0,5013010800.0,2023-06,1,7000.0,,,11,광주광역시,제주
h001582,2306280002,1,0,0,1,1,8531601821.0,앙뚜아네트,제주특별자치도 제주시 서해안로 671,제주특별자치도 제주시 용담삼동 503-5,3349093.0,5011011000.0,2023-06,1,7000.0,한라봉에이드,,09,서울특별시,제주
h001582,2306270003,2,0,0,1,1,3162001896.0,GS25,제주특별자치도 제주시 한경면 녹차분재로 506,제주특별자치도 제주시 한경면 저지리 3138-3,3349232.0,5011031030.0,2023-06,1,4500.0,Y)고급우의,,10,서울특별시,제주
h001596,2307050003,1,0,0,1,1,1057810568.0,오조마을돌담쉼팡,제주특별자치도 서귀포시 성산읍 오조로 75,제주특별자치도 서귀포시 성산읍 오조리 151-3,3350213.0,5013025922.0,2023-07,1,10000.0,,,14,세종특별자치시,제주
h001655,2307040007,6,2,2,1,2,8219201226.0,마마네,제주특별자치도 서귀포시 중앙로48번길 13,제주특별자치도 서귀포시 서귀동 276-16,4850825.0,5013010100.0,2023-07,1,20000.0,,,21,경기도,제주
h001655,2307060002,1,3,3,1,2,3026500545.0,우도클라쓰,제주특별자치도 제주시 우도면 우도해안길 340,제주특별자치도 제주시 우도면 연평리 2427-1,4848460.0,5011033021.0,2023-07,1,8000.0,땅콩아이스크림카페라떼 ,,16,경기도,제주
h001655,2307060002,6,8,8,3,2,6168304217.0,성산포항 공영주차장,제주특별자치도 서귀포시 성산읍 성산등용로 130-19,제주특별자치도 서귀포시 성산읍 성산리 347-9,3350154.0,5013025921.0,2023-07,1,8000.0,주차비,,17,경기도,제주
h001663,2307070003,3,0,0,1,1,6168300017.0,제주현대미술관,제주특별자치도 제주시 한경면 저지14길 35,제주특별자치도 제주시 한경면 저지리 2114-63,4848636.0,5011031030.0,2023-07,1,4000.0,입장권,,14,부산광역시,제주
h001675,2307040003,1,0,0,1,1,1581300916.0,지은이네밥상,제주특별자치도 서귀포시 성산읍 고성동서로45번길 15-7,제주특별자치도 서귀포시 성산읍 고성리 1174-1,4850038.0,5013025924.0,2023-07,1,18000.0,비빔밥;청국장,,13,서울특별시,제주
h001719,2307050014,1,0,0,1,2,7772300171.0,세븐일레븐,제주특별자치도 서귀포시 남원읍 일주동로 6611,제주특별자치도 서귀포시 남원읍 신흥리 161-1,3349235.0,5013025326.0,2023-07,1,3900.0,,,23,서울특별시,제주
h001728,2307050001,1,0,0,1,3,6955100678.0,송악통갈치,제주특별자치도 서귀포시 대정읍 형제해안로 322,제주특별자치도 서귀포시 대정읍 상모리 133,3350316.0,5013025021.0,2023-07,1,34000.0,뚝배기조림 ,,13,경상남도,제주
h001789,2307040003,1,3,3,1,2,7531501107.0,후박나무카페,제주특별자치도 서귀포시 안덕면 병악로 166,제주특별자치도 서귀포시 안덕면 상창리 271,3350095.0,5013031024.0,2023-07,1,13000.0,[ICE]한라봉주스;캔)영귤에이드,,12,부산광역시,제주
h001853,2307050006,2,1,1,1,2,8839900544.0,소린이네수산,제주특별자치도 서귀포시 중정로61번길 22,제주특별자치도 서귀포시 서귀동 277-10,4850836.0,5013010100.0,2023-07,1,20000.0,,,21,서울특별시,제주
h001898,2307090010,2,1,1,1,2,3743200921.0,GS25,제주특별자치도 제주시 애월읍 애월해안로 554-10,제주특별자치도 제주시 애월읍 신엄리 2735-1,3349131.0,5011025326.0,2023-07,1,14900.0,제주삼다수2L;포카리PET;까르보불닭대컵;떡붕어싸만코;짜파게티범벅,,18,경기도,제주
h001906,2307120008,1,0,0,1,2,2151447996.0,소문난순대족발,제주특별자치도 서귀포시 중앙로42번길 22,제주특별자치도 서귀포시 서귀동 274-16,4850823.0,5013010100.0,2023-07,1,5000.0,,,18,인천광역시,제주
h001906,2307110008,1,3,3,1,2,2301601595.0,야시장이동식판매대(27호),제주특별자치도 제주시 중앙로13길 16-12,제주특별자치도 제주시 이도일동 1329-6,4848761.0,5011010300.0,2023-07,1,5000.0,,,20,인천광역시,제주
h001965,2307060002,1,0,0,1,1,6163066333.0,산양산삼해물라면,제주특별자치도 제주시 테우해안로 150,제주특별자치도 제주시 이호일동 1785,3349243.0,5011012500.0,2023-07,3,10000.0,하얀해물라면,,00,대전광역시,제주
h002006,2307100001,2,2,2,1,4,3705900324.0,세화소품관,제주특별자치도 제주시 구좌읍 해맞이해안로 1422-3,제주특별자치도 제주시 구좌읍 세화리 1500-6,3349242.0,5011025628.0,2023-07,1,20000.0,,,10,경기도,제주
h002083,2307210006,2,0,0,1,2,3431900632.0,제성제과,제주특별자치도 서귀포시 중정로73번길 13,제주특별자치도 서귀포시 서귀동 275-37,4850838.0,5013010100.0,2023-07,1,7000.0,,,20,경상남도,제주
h002083,2307220001,1,1,1,1,2,5011170801.0,오는정김밥,제주특별자치도 서귀포시 동문동로 2,제주특별자치도 서귀포시 서귀동 254-6,3350064.0,5013010100.0,2023-07,1,7000.0,,,11,경상남도,제주
h002087,2307160004,1,5,5,1,2,1138638602.0,에스앤가든,제주특별자치도 제주시 구좌읍 금백조로 916,제주특별자치도 제주시 구좌읍 송당리 2303-1,3349228.0,5011025625.0,2023-07,1,5000.0,스누피 아이스크림(초코),,13,경기도,제주
h002095,2308030003,1,1,1,1,2,2356200152.0,컴플렉스,제주특별자치도 제주시 중앙로14길 4,제주특별자치도 제주시 이도일동 1401-1,4848762.0,5011010300.0,2023-08,1,12000.0,아이스아메리카노(사이즈업);아이스카페라떼(기본);에그타르트(1EA),,13,대구광역시,제주
h002100,2307180003,2,0,0,1,2,3968801742.0,한담몰,제주특별자치도 제주시 애월읍 애월로1길 7,제주특별자치도 제주시 애월읍 애월리 2484-1,4848221.0,5011025334.0,2023-07,1,28000.0,새싹귤모자,,13,전라북도,제주
h002119,2307300006,2,0,0,1,4,7121901967.0,은희네해장국,제주특별자치도 서귀포시 중문관광로 348,제주특별자치도 서귀포시 중문동 1920-1,3350251.0,5013011200.0,2023-07,1,18000.0,아기순두부 ,,18,제주특별자치도,제주
h002183,2307180002,1,0,0,1,3,6160955943.0,바다풍경,제주특별자치도 서귀포시 성산읍 일출로288번길 17,제주특별자치도 서귀포시 성산읍 성산리 297-1,4850750.0,5013025921.0,2023-07,1,36000.0,,,11,충청남도,제주
h002199,2307170003,2,1,1,1,2,6163126643.0,진미농수산,제주특별자치도 제주시 동문로 6-8,제주특별자치도 제주시 일도일동 1482-1,3349056.0,5011010100.0,2023-07,1,10000.0,,,16,서울특별시,제주
h002203,2308030003,1,0,0,1,3,7766400638.0,호로락,제주특별자치도 제주시 우도면 우도해안길 1132,제주특별자치도 제주시 우도면 연평리 317-2,4848460.0,5011033021.0,2023-08,1,27000.0,게우살;해물 칼국수,,12,경상북도,제주
h002209,2307120010,2,0,0,1,2,3494200701.0,홍마트,제주특별자치도 서귀포시 대정읍 최남단해안로 13,제주특별자치도 서귀포시 대정읍 하모리 2143-3,3350261.0,5013025022.0,2023-07,1,13500.0,삼다수;캘리캔;제주맥주 펠롱에일;제주맥주 위트에일(캔);제주거멍에일,,19,서울특별시,제주
h002295,2307150004,1,0,0,1,3,8278100461.0,주식회사우진해장국,제주특별자치도 제주시 서사로 11,제주특별자치도 제주시 삼도이동 831,3349092.0,5011010600.0,2023-07,1,30000.0,육개장,,10,경기도,제주
h002311,2307140007,6,0,0,1,2,6460500330.0,스쿠터천국,제주특별자치도 제주시 성화로1길 9,제주특별자치도 제주시 용담이동 898-2,4847997.0,5011010900.0,2023-07,1,85000.0,,,15,서울특별시,제주
h002376,2307220001,1,0,0,1,2,8918101699.0,성산봄죽칼국수,제주특별자치도 서귀포시 성산읍 해맞이해안로 2725,제주특별자치도 서귀포시 성산읍 오조리 391,3349242.0,5013025922.0,2023-07,1,20000.0,유채전복죽;보말죽,,09,경기도,제주
h002376,2307210005,2,0,0,2,2,6072816684.0,제주벨미,제주특별자치도 제주시 오현길 78-2,제주특별자치도 제주시 이도일동 1427-2,4848350.0,5011010300.0,2023-07,1,12000.0,맵지롱;베지그랑,,15,경기도,제주
h002477,2308010015,2,0,0,1,2,1110665552.0,거북이한과,제주특별자치도 서귀포시 중앙로48번길 9,제주특별자치도 서귀포시 서귀동 291-6,4850825.0,5013010100.0,2023-08,1,20000.0,개성모약과,,19,인천광역시,제주
h002477,2308020008,3,1,1,2,2,3688501727.0,코오롱스포츠 솟솟리버스,제주특별자치도 제주시 탑동로 13,제주특별자치도 제주시 삼도이동 1192-29,3349197.0,5011010600.0,2023-08,1,10000.0,,,15,인천광역시,제주
h002489,2308030008,2,0,0,1,2,8839900544.0,소린이네수산,제주특별자치도 서귀포시 중정로61번길 22,제주특별자치도 서귀포시 서귀동 277-10,4850836.0,5013010100.0,2023-08,1,15000.0,,,20,서울특별시,제주
h002549,2308100007,2,1,1,1,1,2130832083.0,용진,제주특별자치도 제주시 성화로 10,제주특별자치도 제주시 용담이동 893-8,3349103.0,5011010900.0,2023-08,1,6000.0,,,18,대구광역시,제주
h002587,2308030002,1,2,2,1,3,1733900273.0,귤하르방,제주특별자치도 서귀포시 중앙로54번길 35,제주특별자치도 서귀포시 서귀동 277-12,4850827.0,5013010100.0,2023-08,1,4000.0,,,13,세종특별자치시,제주
h002665,2308300009,1,0,0,1,2,1441501642.0,당근과해녀,제주특별자치도 제주시 구좌읍 평대5길 48-1,제주특별자치도 제주시 구좌읍 평대리 2024-3,4848923.0,5011025633.0,2023-08,1,30000.0,당킬라 ,,22,인천광역시,제주
h002723,2308130010,1,1,1,1,4,2081173103.0,야시장이동식판매대(32호),제주특별자치도 제주시 중앙로13길 16-12,제주특별자치도 제주시 이도일동 1329-6,4848761.0,5011010300.0,2023-08,1,10000.0,,,20,대구광역시,제주
h002723,2308130010,1,1,1,3,4,2064192213.0,야시장이동식판매대(20호),제주특별자치도 제주시 중앙로13길 16-12,제주특별자치도 제주시 이도일동 1329-6,4848761.0,5011010300.0,2023-08,1,10000.0,,,20,대구광역시,제주
h002723,2308150003,2,2,2,1,4,5718501186.0,애월빵공장앤카페,제주특별자치도 제주시 애월읍 금성5길 42-15,제주특별자치도 제주시 애월읍 금성리 472-13,4847306.0,5011025338.0,2023-08,1,10000.0,귤모자펭귄 ,,17,대구광역시,제주
h002819,2308240007,2,2,2,1,2,1102217305.0,태향제주특산물할인매장,제주특별자치도 제주시 동문로4길 24,제주특별자치도 제주시 일도일동 1481-4,4847601.0,5011010100.0,2023-08,1,10000.0,,,21,부산광역시,제주
h003024,2308190007,1,0,0,1,1,2018121515.0,스타벅스,제주특별자치도 서귀포시 성산읍 일출로 284-5,제주특별자치도 서귀포시 성산읍 성산리 109-11,3350244.0,5013025921.0,2023-08,1,7500.0,G)제주금귤듬뿍B,,17,서울특별시,제주
h003024,2308200008,1,0,0,1,1,6162872619.0,소섬바라기,제주특별자치도 제주시 우도면 우도비양길 83,제주특별자치도 제주시 우도면 연평리 610-9,4848459.0,5011033021.0,2023-08,1,13000.0,,,19,서울특별시,제주
h003024,2308210003,1,0,0,1,1,4222601515.0,비수기애호가,제주특별자치도 제주시 구좌읍 해맞이해안로 997,제주특별자치도 제주시 구좌읍 한동리 1368-5,3349242.0,5011025630.0,2023-08,1,13000.0,ice 아메리카노;감쪽토스트,,11,서울특별시,제주
h003094,2308180005,1,0,0,1,2,1063202345.0,라토커피제주,제주특별자치도 제주시 광양10길 20,제주특별자치도 제주시 이도이동 1769-15,4847203.0,5011010400.0,2023-08,1,6000.0,ICE말차라떼;유자차,,17,경기도,제주
h003148,2308110004,1,0,0,1,2,8278100461.0,주식회사우진해장국,제주특별자치도 제주시 서사로 11,제주특별자치도 제주시 삼도이동 831,3349092.0,5011010600.0,2023-08,1,20000.0,육개장,,19,서울특별시,제주
h003190,2308290007,6,2,2,2,2,6575800199.0,제천분식,제주특별자치도 제주시 한림읍 한림로 329-2,제주특별자치도 제주시 한림읍 협재리 2447-41,3349208.0,5011025031.0,2023-08,1,6000.0,,,16,서울특별시,제주
h003308,2308230006,2,0,0,1,2,7203100689.0,하이제주,제주특별자치도 제주시 노연로 81,제주특별자치도 제주시 연동 262-43,3349041.0,5011013700.0,2023-08,1,14000.0,지퍼형 파우치;허쉬 감귤와플;허쉬 감귤 샌드위치,,23,전라북도,제주
h003322,2308240004,1,0,0,1,2,5010696414.0,고국수,제주특별자치도 제주시 용문로14길 4,제주특별자치도 제주시 용담이동 2682-7,4848426.0,5011010900.0,2023-08,1,20000.0,고기;비빔,,13,대구광역시,제주
h003344,2308160006,1,0,0,1,2,7144600387.0,제주 한담산책로 주차장,제주특별자치도 제주시 애월읍 애월로 12,제주특별자치도 제주시 애월읍 애월리 2454-1,3349129.0,5011025334.0,2023-08,1,7000.0,주차비,,18,부산광역시,제주
h003553,2308180008,1,0,0,3,2,7274100016.0,우정회센타2호점,제주특별자치도 서귀포시 중앙로54번길 38,제주특별자치도 서귀포시 서귀동 276-2,4850827.0,5013010100.0,2023-08,1,20000.0,,,20,서울특별시,제주
h003553,2308200009,2,3,3,3,2,4179440908.0,우리수산,제주특별자치도 제주시 동문로2길 10,제주특별자치도 제주시 일도일동 1480-3,4847600.0,5011010100.0,2023-08,1,20000.0,,,19,서울특별시,제주
